"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"142" "YFL026W" 4.1718161069589e-12 1.94943006940894e-10 -2.45104138826489 -23.2791487310431
"143" "YNL173C" 4.20859094210396e-12 1.9526668044854e-10 1.47204942670241 23.2633252009501
"144" "YDR343C" 4.52076830355618e-12 2.07232924242752e-10 4.94086910805387 23.134699299877
"145" "YFR017C" 4.94328303765988e-12 2.2149970981076e-10 4.22469020049163 22.9750408162729
"146" "YMR031C" 4.52985450423625e-12 2.07232924242752e-10 1.61383268957489 23.1310997744342
"147" "YMR250W" 6.214296463559e-12 2.58942213150338e-10 3.57555421311765 22.5709294625405
"148" "YNR001C" 4.7980398328743e-12 2.16474321287336e-10 1.61647204230638 23.0282138311969
"149" "YKR058W" 6.40263003136059e-12 2.63433997894094e-10 2.14322488069996 22.5187043516144
"150" "YMR196W" 5.77938435762533e-12 2.45511249789512e-10 3.30867348630386 22.698325809499
"151" "YKL001C" 5.19611981580141e-12 2.26620105566485e-10 -1.70014544147349 -22.886362241359
"152" "YOR184W" 5.17570120098417e-12 2.26620105566485e-10 -1.47098496802213 -22.8933499415856
"153" "YML026C" 5.3934395269534e-12 2.33668088644564e-10 -1.49030295333362 -22.8203167027167
"154" "YOR310C" 5.65856526196187e-12 2.43541670682596e-10 -1.55734770627718 -22.7355499596874
"155" "YHL016C" 7.73770916455748e-12 3.03114331464282e-10 2.61286892057069 22.1900794128614
"156" "YGR034W" 5.74927704309069e-12 2.45511249789512e-10 -1.54820539741885 -22.7075231006479
"157" "YKL081W" 6.03083815851485e-12 2.54540278922607e-10 -1.71443592704067 -22.6234633582701
"158" "YDR178W" 7.62258015105099e-12 3.00403128603467e-10 2.62911233768053 22.2159228154018
"159" "YOR142W" 6.14847876899619e-12 2.57841975043417e-10 1.52443848581593 22.5895826851585
"160" "YIL133C" 6.25718868786665e-12 2.59079293645719e-10 -1.39306013569149 -22.5588873183169
"161" "YPR151C" 8.47420540807791e-12 3.22315417323522e-10 3.88043279718912 22.0339468000897
"162" "YJL103C" 8.63535690297888e-12 3.24669568156827e-10 2.459494686703 22.0017282608762
"163" "YDR342C" 7.39491037299092e-12 2.96794500982249e-10 4.85599301152771 22.2682858008673
"164" "YKL029C" 7.11648792862997e-12 2.87383111290724e-10 -2.08823775740183 -22.3347264047543
"165" "YGL234W" 7.02105664076069e-12 2.87073453399103e-10 -1.77375509633781 -22.3581439251083
"166" "YNL220W" 7.07604851437682e-12 2.87383111290724e-10 -1.4948735873727 -22.344608256369
"167" "YOR180C" 1.01016003119559e-11 3.61118411151998e-10 3.09732107259897 21.7352388438811
"168" "YMR280C" 9.67197187158958e-12 3.51522444355217e-10 2.89712106853278 21.8087818221948
"169" "YKL006W" 7.50278590298425e-12 2.99287959617823e-10 -1.41717877990853 -22.2432622718027
"170" "YKL093W" 1.03466307315944e-11 3.65879233762652e-10 2.84671077956395 21.6947840958148
"171" "YMR120C" 7.60754033849441e-12 3.00403128603467e-10 -2.14345918975982 -22.2193297791259
"172" "YBR241C" 9.87508376981951e-12 3.54960428693183e-10 3.00521627053002 21.773585452107
"173" "YDL204W" 1.02376993550772e-11 3.63994723809321e-10 4.4654213137711 21.7126403475351
"174" "YNL115C" 8.39968469927792e-12 3.22315417323522e-10 1.98294106681573 22.0490686798621
"175" "YER065C" 9.02113806527647e-12 3.33425340243156e-10 4.21275255830954 21.9271519892445
"176" "YER102W" 8.17550879418793e-12 3.18358205545104e-10 -1.38163901988233 -22.0954425621117
"177" "YLR058C" 8.33422858031582e-12 3.22315417323522e-10 -2.09840267495707 -22.0624704823351
"178" "YJR143C" 8.54011495586964e-12 3.22944693880342e-10 -1.42154085788532 -22.0206908381168
"179" "YGL253W" 8.47088940314464e-12 3.22315417323522e-10 -1.48896686212186 -22.0346166492417
"180" "YOR108W" 8.86417290874261e-12 3.29485336187467e-10 -1.55954959480011 -21.9570741894462
"181" "YKL142W" 9.6429126195452e-12 3.51522444355217e-10 1.71034453795944 21.813882196916
"182" "YJL048C" 9.08578213062493e-12 3.33928015160383e-10 2.03031542414512 21.9149910903729
"183" "YPR102C" 8.80602365590829e-12 3.2919432432544e-10 -1.39539011364533 -21.9683038544613
"184" "YPL113C" 1.25477025397183e-11 4.16420304129591e-10 3.31960971223581 21.3718123310148
"185" "YMR104C" 1.1227668902859e-11 3.90698989162253e-10 2.09708720699616 21.557382547672
"186" "YBL043W" 1.32614329799632e-11 4.25275953700583e-10 3.42112684747252 21.2800194107981
"187" "YPL230W" 1.36945980117044e-11 4.34903204818302e-10 3.78167908490426 21.2268609371061
"188" "YER091C" 9.8218372005926e-12 3.54960428693183e-10 -1.6877743099097 -21.782736612042
"189" "YLR178C" 1.35269376954274e-11 4.31674275138955e-10 3.26776084552955 21.2472193311823
"190" "YEL041W" 1.31308316390329e-11 4.23162071835238e-10 4.28338634035147 21.2964134081787
"191" "YJL066C" 1.2777483045921e-11 4.17300973530613e-10 2.2192853005354 21.3416611099891
"192" "YHR138C" 1.4473541840416e-11 4.4663165433963e-10 3.09986330609632 21.1356604633437
"193" "YPL090C" 1.06402039582315e-11 3.74237711262099e-10 -1.39620632020742 -21.6476483800616
"194" "YLR438W" 1.52689925469227e-11 4.68965958882481e-10 3.27088578724997 21.0478115658954
"195" "YGL123W" 1.11143094171866e-11 3.88822525172379e-10 -1.41211095263545 -21.5743996235697
"196" "YOR040W" 1.55688940151994e-11 4.73728858825276e-10 2.31134492869436 21.0159594705653
"197" "YHR141C" 1.13110958158958e-11 3.91519517606298e-10 -1.29471701724828 -21.5449762575992
"198" "YGL225W" 1.18677201968072e-11 4.04367841289128e-10 -1.55688645354614 -21.4646364535338
"199" "YNL302C" 1.15982422067715e-11 3.99345792193153e-10 -1.35990079653172 -21.5030141315522
"200" "YBL087C" 1.23944814032679e-11 4.16420304129591e-10 -1.56662325159283 -21.3922489593864
"201" "YGL135W" 1.16979274802592e-11 4.0066932762228e-10 -1.31542567036561 -21.4887069361852
"202" "YML116W" 1.23805139045296e-11 4.16420304129591e-10 -1.8611046423459 -21.3941254197949
"203" "YLL028W" 1.41734025712439e-11 4.45780767409027e-10 -2.35212450244615 -21.1701628149081
"204" "YKL056C" 1.24681778653398e-11 4.16420304129591e-10 -1.32432331350209 -21.382385672091
"205" "YDR447C" 1.26033659764077e-11 4.16420304129591e-10 -1.36188725146433 -21.3644542202212
"206" "YOR285W" 1.25892901848623e-11 4.16420304129591e-10 1.77187259473071 21.3663115883176
"207" "YOR270C" 1.27303200301601e-11 4.17300973530613e-10 -1.3859241241151 -21.3478019832436
"208" "YIL094C" 1.28213842371833e-11 4.17300973530613e-10 -1.3846302644919 -21.3359667749397
"209" "YFR053C" 1.64014900488964e-11 4.90304335678099e-10 5.64074303691947 20.9308709313811
"210" "YOR230W" 1.29142261433407e-11 4.18241917968983e-10 1.36913582592557 21.3239930820919
"211" "YMR304W" 1.42528715165729e-11 4.46135337135979e-10 1.52192068376639 21.160951689581
"212" "YML120C" 1.39359284901651e-11 4.4042919895005e-10 1.67852587548421 21.1980220963797
"213" "YFL014W" 2.00148112689914e-11 5.61960924127648e-10 6.36804857601208 20.6086775769832
"214" "YDL199C" 2.07465983133947e-11 5.75102737992492e-10 2.83251969930902 20.55106758422
"215" "YMR242C" 1.44173081412802e-11 4.4663165433963e-10 -1.2958314312429 -21.1420659504461
"216" "YOL147C" 1.62695855064261e-11 4.90304335678099e-10 1.63458088519887 20.9440377500818
"217" "YMR300C" 1.55230729577693e-11 4.73728858825276e-10 -1.7862207040556 -21.020783207066
"218" "YNL195C" 2.28150795718566e-11 6.12901321320473e-10 5.07189797274637 20.3993280317696
"219" "YDL082W" 1.64134285407374e-11 4.90304335678099e-10 -1.49730446034779 -20.9296848360875
"220" "YHR208W" 1.6278766974753e-11 4.90304335678099e-10 -1.41319255922699 -20.9431175433631
"221" "YNL125C" 1.95626954267029e-11 5.55285777970876e-10 1.88293328733199 20.6454120955486
"222" "YIL052C" 1.70503233480352e-11 5.06875191599001e-10 -1.38928331913539 -20.8677169320696
"223" "YNR002C" 2.4260019434782e-11 6.39955835251386e-10 5.33056122045781 20.3018466292752
"224" "YJL141C" 1.87174528809179e-11 5.39425448224515e-10 1.7106132777037 20.7165995289285
"225" "YML063W" 1.72005950068753e-11 5.06875191599001e-10 -1.26951682265578 -20.853458232945
"226" "YGR085C" 1.71503494281842e-11 5.06875191599001e-10 -1.29129022507707 -20.8582109091232
"227" "YOL153C" 2.31542612556829e-11 6.18266029121134e-10 2.01804112550733 20.3758618125678
"228" "YDR144C" 2.24303302179395e-11 6.08876432720997e-10 -2.07164482339625 -20.4264045048354
"229" "YLL045C" 1.79764011709749e-11 5.2736150879156e-10 -1.42847190879847 -20.7819111547285
"230" "YLR197W" 1.81055430251077e-11 5.28778850313636e-10 -1.40356173674898 -20.770323748577
"231" "YOR369C" 1.8321079836968e-11 5.32695574637532e-10 -1.33542236370065 -20.7511806877663
"232" "YFR031C-A" 1.86326853323994e-11 5.39358528515739e-10 -1.36042754460375 -20.7239284700725
"233" "YGR243W" 2.8130417808369e-11 7.02857191861156e-10 5.19572690617042 20.0686715652289
"234" "YBL039C" 1.98537514280707e-11 5.59841559665685e-10 -1.46393379408291 -20.6216606422213
"235" "YBR189W" 1.9453426578773e-11 5.55285777970876e-10 -1.40087572378695 -20.6544270184396
"236" "YDL229W" 1.96073088827992e-11 5.55285777970876e-10 -1.47903598411608 -20.6417469166977
"237" "YKL085W" 2.06704469503604e-11 5.75102737992492e-10 1.3004983712763 20.5569600860087
"238" "YMR297W" 2.05824351729141e-11 5.75102737992492e-10 1.33177185614643 20.5637994340871
"239" "YER081W" 2.09468660199937e-11 5.7820420887257e-10 -1.32554829266155 -20.535681263313
"240" "YMR152W" 2.36685719909631e-11 6.26881773137168e-10 1.73507390680979 20.3409742812538
